id,age,gender,income,spending_score,membership_years,purchase_frequency,preferred_category,last_purchase_amount
1.0,,,99342.0,,,,,
,,Female,78852.0,,2.0,42.0,Sports,41.93
3.0,,Female,,,2.0,28.0,,
,,Other,,74.0,,5.0,,
5.0,,,140621.0,210.0,,25.0,,
,,,57305.0,,3.0,,,
,19.0,,54319.0,68.0,,,Clothing,
8.0,,Male,108115.0,94.0,9.0,27.0,,
9.0,53.0,Male,,,6.0,,Sports,951.71
,55.0,,,,,,,821.18
,,Other,69659.0,,7.0,24.0,,
12.0,,Other,30058.0,,1.0,49.0,Groceries,
,29.0,,87461.0,81.0,3.0,27.0,Home & Garden,
14.0,,Other,,,,,,221.35
,,,,17.0,,,Home & Garden,915.89
,53.0,male,129284.0,17.0,,,Clothing,225.4
,57.0,,,,,13.0,Clothing,378.47
,22.0,,,,1.0,,Sports,844.08
,37.0,,,90.0,6.0,,Home & Garden,
20.0,,Male,,70.0,,17.0,Groceries,61.3
,19.0,,82519.0,,4.0,4.0,Home & Garden,742.39
22.0,,male,49077.0,,10.0,47.0,Home & Garden,
23.0,36.0,,85473.0,,1.0,16.0,,
24.0,41.0,Other,,,7.0,9.0,Clothing,482.2
25.0,,female,,78.0,5.0,39.0,,
,33.0,Other,,,,,Groceries,83.27
27.0,,,35394.0,,9.0,4.0,,124.29
,,,,19.0,7.0,27.0,,
,18.0,,,,,1.0,Home & Garden,
,23.0,male,104106.0,,,20.0,,
,,,76756.0,16.0,8.0,,Clothing,
32.0,,,45733.0,69.0,2.0,,Elec,197.29
,,,,2.0,,47.0,Elec,91.94
34.0,,,,89.0,,37.0,Groceries,
,,,,,10.0,48.0,,
,,,,,,,,532.51
37.0,47.0,Male,,,,38.0,,
,,,,,7.0,50.0,Elec,967.99
,,female,,43.0,4.0,,Sports,
40.0,,M,107057.0,14.0,5.0,,,
41.0,,M,,31.0,1.0,48.0,Home & Garden,
,,Male,,70.0,2.0,,,
43.0,,,72179.0,,6.0,,,165.18
44.0,,,62405.0,,,,,
,50.0,male,,45.0,,31.0,Home & Garden,
,,,,28.0,,,,214.93
47.0,,,129005.0,,,,Elec,355.34
48.0,,Male,76317.0,94.0,9.0,3.0,Elec,
,,Other,85309.0,,,,Sports,
50.0,,Female,,,,18.0,,673.79
51.0,,Female,,83.0,9.0,,Clothing,110.32
52.0,24.0,female,96082.0,83.0,4.0,36.0,,589.35
,,Other,,,,16.0,Groceries,
,,,45136.0,,9.0,,Home & Garden,332.34
55.0,56.0,,,,,,Sports,
56.0,,Other,,50.0,,,Sports,903.07
57.0,,,,7.0,9.0,,Elec,195.34
,49.0,F,112198.0,,5.0,,Sports,
59.0,,,81595.0,12.0,,1.0,,806.26
,21.0,female,139387.0,1.0,,,Clothing,
61.0,,,69133.0,,6.0,7.0,Groceries,224.86
62.0,,,89149.0,87.0,10.0,36.0,,
63.0,49.0,,79992.0,,,,,
,,,,,,19.0,Elec,
